id,Date,Measure,Count,Reporting,Missing
100,2020-07-12,Staff.Confirmed,13265,50,"Mississippi, New York, District of Columbia"
101,2020-07-19,Staff.Confirmed,16484,52,District of Columbia
102,2020-07-26,Staff.Confirmed,18161,52,District of Columbia
103,2020-08-02,Staff.Confirmed,19833,52,District of Columbia
104,2020-08-09,Staff.Confirmed,21843,51,"Montana, District of Columbia"
105,2020-08-16,Staff.Confirmed,23342,52,District of Columbia
106,2020-08-23,Staff.Confirmed,24103,50,"Alaska, Virginia, District of Columbia"
107,2020-08-30,Staff.Confirmed,25866,51,"Alaska, District of Columbia"
108,2020-09-06,Staff.Confirmed,26030,49,"Alaska, Arkansas, Virginia, District of Columbia"
109,2020-09-13,Staff.Confirmed,28046,51,"Arkansas, District of Columbia"
110,2020-09-20,Staff.Confirmed,29118,51,"Arkansas, District of Columbia"
111,2020-09-27,Staff.Confirmed,30333,51,"Arkansas, District of Columbia"
112,2020-10-04,Staff.Confirmed,31564,51,"Arkansas, Montana"
113,2020-10-11,Staff.Confirmed,32810,51,"Alaska, Arkansas"
114,2020-10-18,Staff.Confirmed,35192,52,Arkansas
115,2020-10-25,Staff.Confirmed,37805,52,Arkansas
116,2020-11-01,Staff.Confirmed,40108,52,Arkansas
117,2020-11-08,Staff.Confirmed,42039,49,"Arkansas, Colorado, Nebraska, Virginia"
118,2020-11-15,Staff.Confirmed,45561,50,"Arkansas, Nebraska, Virginia"
119,2020-11-22,Staff.Confirmed,52523,51,"Maine, ICE"
120,2020-11-29,Staff.Confirmed,58507,52,ICE
121,2020-12-06,Staff.Confirmed,62066,50,"Arkansas, Nebraska, ICE"
122,2020-12-13,Staff.Confirmed,68378,49,"Arkansas, Connecticut, Nebraska, ICE"
123,2020-12-20,Staff.Confirmed,75061,50,"Arkansas, Nebraska, ICE"
124,2020-12-27,Staff.Confirmed,80246,51,"Arkansas, ICE"
125,2021-01-03,Staff.Confirmed,85983,50,"Arkansas, Nebraska, ICE"
126,2021-01-10,Staff.Confirmed,91342,50,"Arkansas, Nebraska, ICE"
127,2021-01-17,Staff.Confirmed,94034,49,"Arkansas, Mississippi, Nebraska, ICE"
128,2021-01-24,Staff.Confirmed,95482,48,"Arkansas, Mississippi, Nebraska, Virginia, ICE"
